,model wc,,,model no wc,,,,,,,,,,,,,
layer_name,num_row,num_zero,num_total,num_row,num_zero,num_total,,,,,,,,,,,
conv1,30,1752,2304,40,1568,2304,,,,,,,,,,,
conv2,73,1130,2304,0,1517,2304,,,,,,,,,,,
conv1,51,1343,2304,67,1368,2304,,,,,,,,,,,
conv2,72,1089,2304,0,1372,2304,,,,,,,,,,,
conv1,74,927,2304,79,1009,2304,,,,,,,,,,,
conv2,65,1003,2304,60,1513,2304,,,,,,,,,,,
conv2,168,3944,9216,145,4492,9216,,,,,,,,,,,
conv1,142,4870,9216,145,4941,9216,,,,,,,,,,,
conv2,153,3829,9216,129,4032,9216,,,,,,,,,,,
conv1,173,3544,9216,171,3879,9216,,,,,,,,,,,
conv2,170,3563,9216,135,4513,9216,,,,,,,,,,,
conv2,351,13707,36864,306,14394,36864,,,,,,,,,,,
conv1,350,14293,36864,361,14093,36864,,,,,,,,,,,
conv2,365,13691,36864,315,14146,36864,,,,,,,,,,,
conv1,369,14641,36864,345,15052,36864,,,,,,,,,,,
conv2,351,15662,36864,322,16523,36864,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,layer_name,conv1,conv2,conv1,conv2,conv1,conv2,conv2,conv1,conv2,conv1,conv2,conv2,conv1,conv2,conv1,conv2
model wc,num_row,30,73,51,72,74,65,168,142,153,173,170,351,350,365,369,351
,num_zero,1752,1130,1343,1089,927,1003,3944,4870,3829,3544,3563,13707,14293,13691,14641,15662
,num_total,2304,2304,2304,2304,2304,2304,9216,9216,9216,9216,9216,36864,36864,36864,36864,36864
model no wc,num_row,40,0,67,0,79,60,145,145,129,171,135,306,361,315,345,322
,num_zero,1568,1517,1368,1372,1009,1513,4492,4941,4032,3879,4513,14394,14093,14146,15052,16523
,num_total,2304,2304,2304,2304,2304,2304,9216,9216,9216,9216,9216,36864,36864,36864,36864,36864