layer_name,num_row,num_zero,num_total,num_row,num_zero,num_total,,,,,,,,,,
conv1,45,1597,2304,33,1649,2304,,,,,,,,,,
conv2,45,1262,2304,77,1470,2304,,,,,,,,,,
conv1,65,1233,2304,60,1296,2304,,,,,,,,,,
conv2,67,1351,2304,52,1357,2304,,,,,,,,,,
conv1,71,1302,2304,71,1053,2304,,,,,,,,,,
conv2,75,1272,2304,67,1491,2304,,,,,,,,,,
conv2,129,4783,9216,115,4147,9216,,,,,,,,,,
conv1,136,5402,9216,145,4556,9216,,,,,,,,,,
conv2,149,4581,9216,153,3952,9216,,,,,,,,,,
conv1,140,5099,9216,195,3561,9216,,,,,,,,,,
conv2,132,5095,9216,140,4145,9216,,,,,,,,,,
conv2,238,18221,36864,344,14159,36864,,,,,,,,,,
conv1,276,18876,36864,374,14353,36864,,,,,,,,,,
conv2,269,18887,36864,310,14250,36864,,,,,,,,,,
conv1,285,20182,36864,364,14935,36864,,,,,,,,,,
conv2,244,20701,36864,363,16308,36864,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
layer_name,conv1,conv2,conv1,conv2,conv1,conv2,conv2,conv1,conv2,conv1,conv2,conv2,conv1,conv2,conv1,conv2
num_row,45,45,65,67,71,75,129,136,149,140,132,238,276,269,285,244
num_zero,1597,1262,1233,1351,1302,1272,4783,5402,4581,5099,5095,18221,18876,18887,20182,20701
num_total,2304,2304,2304,2304,2304,2304,9216,9216,9216,9216,9216,36864,36864,36864,36864,36864
num_row,33,77,60,52,71,67,115,145,153,195,140,344,374,310,364,363
num_zero,1649,1470,1296,1357,1053,1491,4147,4556,3952,3561,4145,14159,14353,14250,14935,16308
num_total,2304,2304,2304,2304,2304,2304,9216,9216,9216,9216,9216,36864,36864,36864,36864,36864